Time,adservice,shippingservice,currencyservice,productcatalogservice,checkoutservice,cartservice,emailservice,frontend,recommendationservice,redis-cart,paymentservice,Total
2020-11-05 00:31:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:32:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:33:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:34:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:35:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:36:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:37:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:38:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:39:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:40:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:41:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:42:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:43:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:44:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
