Time,frontend,redis-cart,checkoutservice,currencyservice,recommendationservice,emailservice,productcatalogservice,adservice,cartservice,paymentservice,shippingservice,Total
2020-11-06 02:02:12,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:13,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:14,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:15,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:16,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:17,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:18,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:19,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:20,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:21,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:22,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:23,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:24,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:25,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:26,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:27,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:28,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:29,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:30,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:31,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:32,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:33,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:34,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:35,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:36,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:37,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:38,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:39,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:40,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:41,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:42,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:43,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:44,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:45,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:46,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:47,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:48,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:49,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:50,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:51,5.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0
2020-11-06 02:02:52,5.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0
2020-11-06 02:02:53,5.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0
2020-11-06 02:02:54,5.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0
