Time,paymentservice,cartservice,recommendationservice,shippingservice,adservice,productcatalogservice,checkoutservice,currencyservice,frontend,emailservice,Total
2020-11-22 22:20:13,2.8400000000000003,9.504792332268373,11.048387096774194,1.3496503496503502,3.017142857142857,2.1913652103687653,158.92857142857144,3.4225641025641016,244.59913271679042,3.5,440.40160609413056
2020-11-22 22:20:14,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.017142857142857,2.302716705712741,158.92857142857144,3.4225641025641016,397.4309614585511,3.5,594.0171784552401
2020-11-22 22:20:15,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.017142857142857,2.302716705712741,158.92857142857144,3.4225641025641016,397.4309614585511,3.5,594.0171784552401
2020-11-22 22:20:16,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.017142857142857,2.302716705712741,158.92857142857144,3.4225641025641016,398.54178719064316,3.5,595.1280041873322
2020-11-22 22:20:17,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.017142857142857,2.302716705712741,158.92857142857144,3.4225641025641016,398.54178719064316,3.117647058823529,594.7456512461558
2020-11-22 22:20:18,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.017142857142857,2.302716705712741,158.92857142857144,3.4225641025641016,396.96097439309824,3.117647058823529,593.1648384486108
2020-11-22 22:20:19,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.5770308123249306,2.302716705712741,158.92857142857144,3.4225641025641016,393.8365336505246,3.117647058823529,590.6002856612192
2020-11-22 22:20:20,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.5770308123249306,2.4199192462987886,158.92857142857144,3.4225641025641016,393.8365336505246,3.117647058823529,590.7174882018054
2020-11-22 22:20:21,2.8400000000000003,9.504792332268373,11.720779220779223,1.3496503496503502,3.5770308123249306,2.4770057066129576,158.92857142857144,3.4225641025641016,393.8365336505246,3.117647058823529,590.7745746621196
2020-11-22 22:20:22,2.8400000000000003,9.504792332268373,11.941176470588234,1.3496503496503502,3.5770308123249306,2.4770057066129576,158.92857142857144,3.4225641025641016,393.8365336505246,3.117647058823529,590.9949719119285
2020-11-22 22:20:23,2.8400000000000003,9.504792332268373,11.941176470588234,1.3496503496503502,3.5770308123249306,2.4770057066129576,158.92857142857144,3.4225641025641016,395.8526807326848,3.117647058823529,593.0111189940887
2020-11-22 22:20:24,2.8400000000000003,9.504792332268373,11.941176470588234,1.3496503496503502,3.5770308123249306,2.4770057066129576,158.92857142857144,3.4225641025641016,405.07612130627695,3.117647058823529,602.2345595676809
2020-11-22 22:20:25,2.8400000000000003,9.504792332268373,11.941176470588234,1.3496503496503502,3.5770308123249306,2.4770057066129576,158.92857142857144,3.3690037682620737,405.07612130627695,3.117647058823529,602.1809992333789
2020-11-22 22:20:26,2.8400000000000003,9.35897435897436,11.941176470588234,1.8674698795180724,3.5770308123249306,2.4770057066129576,158.92857142857144,3.3451005457831062,399.61159070781133,3.117647058823529,597.0645669690081
2020-11-22 22:20:27,2.8400000000000003,9.35897435897436,11.941176470588234,1.8674698795180724,3.5770308123249306,2.4770057066129576,123.4375,3.2715643492771767,391.4998352730488,3.117647058823529,553.388203909168
2020-11-22 22:20:28,2.652173913043478,9.35897435897436,11.941176470588234,1.8674698795180724,3.5770308123249306,2.4770057066129576,123.4375,3.2715643492771767,391.4998352730488,3.117647058823529,553.2003778222114
2020-11-22 22:20:29,2.652173913043478,9.35897435897436,12.099999999999998,1.8674698795180724,3.5770308123249306,2.346114344402602,123.4375,3.2715643492771767,270.56427037129856,3.117647058823529,432.29274508766264
2020-11-22 22:20:30,2.652173913043478,9.35897435897436,12.099999999999998,1.8674698795180724,3.5770308123249306,2.346114344402602,123.4375,3.2715643492771767,270.56427037129856,3.117647058823529,432.29274508766264
2020-11-22 22:20:31,2.652173913043478,9.35897435897436,12.099999999999998,1.8674698795180724,3.5770308123249306,2.346114344402602,123.4375,3.2715643492771767,265.34281488249474,3.3636363636363638,427.3172789036717
2020-11-22 22:20:32,2.652173913043478,9.35897435897436,12.099999999999998,1.8674698795180724,3.5770308123249306,2.346114344402602,123.4375,3.2715643492771767,265.34281488249474,3.3636363636363638,427.3172789036717
2020-11-22 22:20:33,2.652173913043478,9.35897435897436,12.099999999999998,1.8674698795180724,3.5770308123249306,2.346114344402602,123.4375,3.2715643492771767,264.94024288219475,3.3636363636363638,426.91470690337167
