Time,frontend,adservice,emailservice,cartservice,recommendationservice,paymentservice,currencyservice,productcatalogservice,shippingservice,redis-cart,checkoutservice,Total
2020-11-25 15:48:00,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:01,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:02,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:03,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:04,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:05,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:06,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:07,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:08,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:09,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:10,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:11,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:12,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:13,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:14,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:15,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:16,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:17,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:18,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:19,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:20,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:21,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:22,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:23,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:24,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:25,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:26,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:27,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:28,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:29,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:30,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:31,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:32,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:33,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:34,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:35,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:36,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:37,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:38,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:39,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:40,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:41,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:42,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:43,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:44,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:45,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:46,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:47,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:48,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:49,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:50,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:51,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
